prompt_id,prompt_type,mean_bertscore,mean_rougeL,variation_score,no_clarif_runs,question_runs,excluded,suppressed
1,epistemic,0.9339372515678406,0.5,0.06606274843215942,0,4,False,False
2,epistemic,0.8683115839958191,0.3194444444444444,0.1316884160041809,1,3,False,False
3,epistemic,0.8713538646697998,0.26794871794871794,0.1286461353302002,1,3,False,False
4,epistemic,,,,4,0,True,True
5,epistemic,0.9000823497772217,0.23589743589743586,0.09991765022277832,0,4,False,False
6,epistemic,0.9835037589073181,0.7999999999999999,0.016496241092681885,0,4,False,False
7,epistemic,,,,4,0,True,True
8,epistemic,,,,4,0,True,True
9,epistemic,0.9227114319801331,0.5554292929292929,0.07728856801986694,0,4,False,False
10,epistemic,0.8591459393501282,0.1799370220422852,0.14085406064987183,0,4,False,False
11,aleatoric,0.9819253087043762,0.8571428571428571,0.01807469129562378,0,4,False,False
12,aleatoric,,,,4,0,True,True
13,aleatoric,0.9862897992134094,0.9285714285714285,0.013710200786590576,0,4,False,False
14,aleatoric,,,,3,1,True,False
15,aleatoric,0.9711191654205322,0.8263157894736842,0.028880834579467773,1,3,False,False
16,aleatoric,0.8536630868911743,0.0,0.14633691310882568,2,2,False,False
17,aleatoric,,,,3,1,True,False
18,aleatoric,0.9744011759757996,0.5,0.02559882402420044,0,4,False,False
19,aleatoric,0.9865057468414307,0.8076923076923078,0.013494253158569336,0,4,False,False
20,aleatoric,0.949793815612793,0.6639471639471639,0.05020618438720703,0,4,False,False
21,unambiguous,,,,4,0,True,False
22,unambiguous,,,,4,0,True,False
23,unambiguous,,,,4,0,True,False
24,unambiguous,,,,4,0,True,False
25,unambiguous,,,,4,0,True,False
26,unambiguous,,,,4,0,True,False
27,unambiguous,,,,4,0,True,False
28,unambiguous,,,,4,0,True,False
29,unambiguous,,,,4,0,True,False
30,unambiguous,,,,4,0,True,False
